username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;place_full_name;location;timezone;profile_location_name
FLUFFYT4E;2017-12-07 02:59;2;1;"misiaczek do tulenia xjksks pic.twitter.com/BhbRu5Ob2M";;;;"938679386135515137";https://twitter.com/FLUFFYT4E/status/938679386135515137;;꒰ᵗᵃᵉᵏᵒᵒᵏ ; ˡⁱˢᵒᵒ ; ᵐᵃʳᵏˢᵒⁿ ; ᵏⁱᵐⁱⁿ ; ᵍ ⁺ ʰᵛᶜ꒱,None,
FLUFFYT4E;2017-12-07 02:59;1;0;"pic.twitter.com/vm9QJnNHiR";;;;"938679341185224704";https://twitter.com/FLUFFYT4E/status/938679341185224704;;꒰ᵗᵃᵉᵏᵒᵒᵏ ; ˡⁱˢᵒᵒ ; ᵐᵃʳᵏˢᵒⁿ ; ᵏⁱᵐⁱⁿ ; ᵍ ⁺ ʰᵛᶜ꒱,None,
FLUFFYT4E;2017-12-07 02:46;0;0;"dzień dobrek !! ٩꒰｡•◡•｡꒱۶ mam nadzieje, że sehunek czuje sie dobrze";;;;"938676147843452928";https://twitter.com/FLUFFYT4E/status/938676147843452928;;꒰ᵗᵃᵉᵏᵒᵒᵏ ; ˡⁱˢᵒᵒ ; ᵐᵃʳᵏˢᵒⁿ ; ᵏⁱᵐⁱⁿ ; ᵍ ⁺ ʰᵛᶜ꒱,None,
FLUFFYT4E;2017-12-06 18:14;0;0;"dobranoc, wyśpijcie sie !!! kocham sehunka tae i jungkooka marka i bambama";;;;"938547204217810951";https://twitter.com/FLUFFYT4E/status/938547204217810951;;꒰ᵗᵃᵉᵏᵒᵒᵏ ; ˡⁱˢᵒᵒ ; ᵐᵃʳᵏˢᵒⁿ ; ᵏⁱᵐⁱⁿ ; ᵍ ⁺ ʰᵛᶜ꒱,None,
FLUFFYT4E;2017-12-06 18:08;0;0;"przypomniało mi sie o felixie i znowu mi przykro:-(";;;;"938545704246697984";https://twitter.com/FLUFFYT4E/status/938545704246697984;;꒰ᵗᵃᵉᵏᵒᵒᵏ ; ˡⁱˢᵒᵒ ; ᵐᵃʳᵏˢᵒⁿ ; ᵏⁱᵐⁱⁿ ; ᵍ ⁺ ʰᵛᶜ꒱,None,
FLUFFYT4E;2017-12-06 17:48;0;0;"chyba już lepiej to wyglada";;;;"938540676098248704";https://twitter.com/FLUFFYT4E/status/938540676098248704;;꒰ᵗᵃᵉᵏᵒᵒᵏ ; ˡⁱˢᵒᵒ ; ᵐᵃʳᵏˢᵒⁿ ; ᵏⁱᵐⁱⁿ ; ᵍ ⁺ ʰᵛᶜ꒱,None,
FLUFFYT4E;2017-12-06 17:35;0;0;"06.12.2017 pic.twitter.com/nw8Iu8oyAl";;;;"938537497793126401";https://twitter.com/FLUFFYT4E/status/938537497793126401;;꒰ᵗᵃᵉᵏᵒᵒᵏ ; ˡⁱˢᵒᵒ ; ᵐᵃʳᵏˢᵒⁿ ; ᵏⁱᵐⁱⁿ ; ᵍ ⁺ ʰᵛᶜ꒱,None,
FLUFFYT4E;2017-12-06 17:35;0;0;"26*";;;;"938537382009360384";https://twitter.com/FLUFFYT4E/status/938537382009360384;;꒰ᵗᵃᵉᵏᵒᵒᵏ ; ˡⁱˢᵒᵒ ; ᵐᵃʳᵏˢᵒⁿ ; ᵏⁱᵐⁱⁿ ; ᵍ ⁺ ʰᵛᶜ꒱,None,
FLUFFYT4E;2017-12-06 13:27;0;0;":(( https:// twitter.com/nalaliloops/st atus/938340742719717376 …";;;;"938475088130781185";https://twitter.com/FLUFFYT4E/status/938475088130781185;;꒰ᵗᵃᵉᵏᵒᵒᵏ ; ˡⁱˢᵒᵒ ; ᵐᵃʳᵏˢᵒⁿ ; ᵏⁱᵐⁱⁿ ; ᵍ ⁺ ʰᵛᶜ꒱,None,
FLUFFYT4E;2017-12-06 13:25;0;0;"weź idź z tym swagiem ja chce moją cute dziewczynke -,- https:// twitter.com/nalaliloops/st atus/938343837310763008 …";;;;"938474576744452096";https://twitter.com/FLUFFYT4E/status/938474576744452096;;꒰ᵗᵃᵉᵏᵒᵒᵏ ; ˡⁱˢᵒᵒ ; ᵐᵃʳᵏˢᵒⁿ ; ᵏⁱᵐⁱⁿ ; ᵍ ⁺ ʰᵛᶜ꒱,None,
FLUFFYT4E;2017-12-06 13:25;0;0;"najsłodszy bąbelek:-( https:// twitter.com/nalaliloops/st atus/938344706735403008 …";;;;"938474407269240832";https://twitter.com/FLUFFYT4E/status/938474407269240832;;꒰ᵗᵃᵉᵏᵒᵒᵏ ; ˡⁱˢᵒᵒ ; ᵐᵃʳᵏˢᵒⁿ ; ᵏⁱᵐⁱⁿ ; ᵍ ⁺ ʰᵛᶜ꒱,None,
