username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;place_full_name;location;timezone;profile_location_name
Orrdtty;2017-12-07 04:09;0;1;"الله يسلمك يارب";;;;"938697050115407872";https://twitter.com/Orrdtty/status/938697050115407872;;في نفسي .. بين حروفي و قلمي ..,None,
Orrdtty;2017-12-07 03:47;0;1;"اعوذ بالله.. قطعت قلبي ومركزه ايش لي يزززننن";;;;"938691502045351936";https://twitter.com/Orrdtty/status/938691502045351936;;في نفسي .. بين حروفي و قلمي ..,None,
Orrdtty;2017-12-06 10:43;0;1;"ههههههههههههههههههههه";;;;"938433725842513921";https://twitter.com/Orrdtty/status/938433725842513921;;في نفسي .. بين حروفي و قلمي ..,None,
Orrdtty;2017-12-06 09:36;1;1;"آمين";;;;"938416822566772736";https://twitter.com/Orrdtty/status/938416822566772736;;في نفسي .. بين حروفي و قلمي ..,None,
Orrdtty;2017-12-05 22:59;11;3;"pic.twitter.com/O9yXpF1Vdu";;;;"938256460546494464";https://twitter.com/Orrdtty/status/938256460546494464;;في نفسي .. بين حروفي و قلمي ..,None,
Orrdtty;2017-12-05 21:52;0;0;"اللهم آمين";;;;"938239668205780993";https://twitter.com/Orrdtty/status/938239668205780993;;في نفسي .. بين حروفي و قلمي ..,None,
Orrdtty;2017-12-05 11:58;0;1;"آمين يارب";;;;"938090133475201025";https://twitter.com/Orrdtty/status/938090133475201025;;في نفسي .. بين حروفي و قلمي ..,None,
Orrdtty;2017-12-05 09:51;0;1;"رووووعه ...";;;;"938058340588023809";https://twitter.com/Orrdtty/status/938058340588023809;;في نفسي .. بين حروفي و قلمي ..,None,
Orrdtty;2017-12-05 09:46;2;1;"pic.twitter.com/zHEzKIg4QY";;;;"938057017364754432";https://twitter.com/Orrdtty/status/938057017364754432;;في نفسي .. بين حروفي و قلمي ..,None,
Orrdtty;2017-12-05 09:43;3;5;"• يا شين طـ؏ـم الصبر لا صرت مجبور • تصبر ولا تدري وش الآيام تـ؏ـطيڪ";;;;"938056152679673857";https://twitter.com/Orrdtty/status/938056152679673857;;في نفسي .. بين حروفي و قلمي ..,None,
